,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Median Household Income,Percent Households on SNAP/Food Stamps,zip code tabulation area
419,6.3,14.8,24.4,35.2,13.1,-666666666.0,-666666666,-666666666.0,01937
420,0.9,55.6,6.1,7.4,5.5,93.8,123266,5.9,01938
421,1.3,60.7,16.0,7.7,11.4,94.2,157955,1.4,01940
422,0.0,81.1,5.1,5.7,4.6,99.0,209052,0.0,01944
423,0.1,75.7,10.2,6.5,7.6,97.3,163561,4.3,01945
424,2.3,40.3,14.6,8.0,10.6,97.3,168245,2.1,01949
425,0.9,64.6,6.5,9.7,7.7,93.1,127306,4.5,01950
426,0.0,63.2,3.4,4.3,4.7,95.4,163077,6.3,01951
427,1.6,45.0,8.2,15.5,5.4,91.5,97237,10.2,01952
428,5.3,34.8,22.5,16.4,16.4,88.3,91032,10.0,01960
429,0.0,87.4,4.1,4.1,4.2,94.1,241003,0.0,01965
430,0.8,58.9,3.8,12.6,3.7,89.0,95091,5.1,01966
431,0.3,48.7,2.2,14.0,2.8,93.1,135396,6.9,01969
